pub_identity,pub_deletion,place,name,address,latitude,longitude,category,rank,station_identity,area_identity
10f611a2-512f-4b07-aa57-8de878ccbb3b,False,ChIJ03GSCloDdkgRe_s-p2vyvQA,The Shard,"32 London Bridge St, London SE1 9SG, UK",51.5042997,-0.0863703,bar,4.0,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
0d3af39b-2da5-4ce4-bb58-734a1523af77,False,ChIJ6fK9FtAPdkgRdZW6DkHWrnU,Defectors Weld,"170 Uxbridge Rd, London W12 8AA, UK",51.505251622105526,-0.2244298160076141,bar,4.0,88f17742-208e-4759-9444-3f128e5a07cd,a8270094-1d5b-4558-a1d0-5be568497233
b9f3cbd8-2466-4652-9158-0d8a432bc1e7,False,ChIJYdET4FQDdkgRbjvXg_CcAm0,The Ned,"27 Poultry, London EC2R 8AJ, UK",51.5136168286822,-0.0901302695274353,bar,4.0,7a683234-b0e5-49f4-b894-55b5ddaa9eef,71f589fb-f617-48b9-b779-dc1e8d73b1fe
979b46f5-07a3-4f18-83de-ac5b365a8f1c,False,ChIJNQsDclUDdkgRvZqcNZvdRgM,Core Bar,"10-15 Queen St, London EC4N 1TY, UK",51.51297250696187,-0.092659592628479,bar,4.0,17d9ab39-318d-4187-bdcb-a6aa315d1997,71f589fb-f617-48b9-b779-dc1e8d73b1fe
fd1f6053-8868-419a-a445-fd24a21e8b99,False,ChIJy2QpfVUDdkgR_ZjHMTwf28A,Ye Olde Watling,"29 Watling St, Greater, London EC4M 9BR, UK",51.51292242976256,-0.0935447216033935,bar,4.0,17d9ab39-318d-4187-bdcb-a6aa315d1997,71f589fb-f617-48b9-b779-dc1e8d73b1fe
e550bd4d-7593-458b-b7b7-a36bfa2dfd62,False,ChIJxSm2gqoEdkgR8QXyqlo5k2A,The Pavilion End,"23 Watling St, London EC4M 9BR, UK",51.51301590715673,-0.0939711928367614,bar,4.0,17d9ab39-318d-4187-bdcb-a6aa315d1997,71f589fb-f617-48b9-b779-dc1e8d73b1fe
efcf3870-da4d-4a44-9c1b-3d5be38edeaa,False,ChIJtVNpD8sEdkgRW_kxR_77yN4,Marquess of Anglesey,"39 Bow St, London WC2E 7AU, UK",51.5128833,-0.1212482,bar,4.0,6755ece0-c460-4849-9ba9-ece9e516d8f1,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
eabe0a83-2841-4c72-b86a-4fb5504e2161,False,ChIJnx8u7bQEdkgRGm5XKuA0SBQ,The George,"213 Strand, Temple, London WC2R 1AP, UK",51.5131978,-0.1130845,bar,4.0,a9dd3bb6-f448-4315-b4b9-be59803228f3,87fbc59f-9c44-4e78-b4b5-000ef3b4d559
75d7f798-4740-483c-9140-88318b66078e,False,ChIJPyb_JskEdkgRDw4ffzUc8cQ,The Coal Hole,"91-92 Strand, Greater, London WC2R 0DW, UK",51.510391790277765,-0.1212948560714721,bar,4.0,457a9061-abd6-4bb1-8017-0c1eaeb4efdd,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
2fb4fd5e-0efa-406b-9766-68a70919ff97,False,ChIJecwW7esFdkgRtcYqImd3s0w,Champagne and Fromage,"22 Wellington St, London WC2E 7DD, UK",51.5120123,-0.1200806,restaurant,3.0,6755ece0-c460-4849-9ba9-ece9e516d8f1,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
e8cbe945-648f-4a82-8e4b-8a6eb043af7f,False,ChIJKZfgUMoEdkgRjRIYygsCkSY,Christophers,"18 Wellington St, London WC2E 7DD, UK",51.51193923626556,-0.1198330521583557,restaurant,4.0,6755ece0-c460-4849-9ba9-ece9e516d8f1,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
5c5aa314-0ef0-4a92-9aa2-45e89bcd7f0c,False,ChIJa1uHRMoEdkgRq4LNAJbXbhg,CellarDoor,"Zero Aldwych, Wellington St, London WC2E 7DN, UK",51.5116153953917,-0.1193569600582122,bar,4.0,a9dd3bb6-f448-4315-b4b9-be59803228f3,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
0ca14449-0d5b-4e03-9247-99fed9cebbc3,False,ChIJ8W1157cEdkgRaKMYsrcpgH0,Royal Festival Hall,"Southbank Centre, Belvedere Rd, London SE1 8XX, UK",51.5060805,-0.1163042,bar,4.0,ebf71968-a0a8-48a5-b003-63b1b53f9375,31e94930-b83f-4fed-914f-23c75fb14cae
6bb18e6f-42e5-4f54-b98a-75302168364c,False,ChIJ5RaXpLMcdkgR9zQEorKYcI4,Kings Stores,"14 Widegate St, London E1 7HW, UK",51.5179984,-0.0778238,bar,4.0,21d98f91-f4f6-4a17-9c96-2f81a74a8a5c,42591133-6127-4928-a6fc-d0f99e2c3d9a
49bf46f8-088d-44aa-afee-c96875a311a7,False,ChIJ2QufhMwEdkgRXCUo74j_0Zo,The Nags Head,"10 James St, London WC2E 8BT, UK",51.5129465,-0.1236617,bar,3.0,6755ece0-c460-4849-9ba9-ece9e516d8f1,5dbbbdb9-3ab1-4a96-a0e9-edf4ca8bd52a
9b7c0aba-1eb5-4006-887b-d7903b0a566d,False,ChIJsecEQrMEdkgRvd4CVnayQPs,Ye Olde Cock Tavern,"22 Fleet St, Temple, London EC4Y 1AA, UK",51.5137341,-0.1104919,bar,3.0,d6281a4d-bb07-4586-84b6-c4eab9b52dc4,87fbc59f-9c44-4e78-b4b5-000ef3b4d559
712563fe-a173-4e5f-ac01-7da8c79e2e73,False,ChIJEzxesdQEdkgRPSzStADi2KQ,Copita,"27 D'Arblay St, London W1F 8EN, UK",51.5145352,-0.1360063,restaurant,3.0,7d6570e0-c264-4105-a26e-7864393b92ed,1676a419-f2d0-4bf4-a5ae-569fea25e991
6c3d8d8e-0d88-4610-849f-f8e54d9ca908,False,ChIJAyUgv9QEdkgRn5HRBvUrTSo,Barrio Soho,"6 Poland St, London W1F 8PS, UK",51.5141796,-0.1365644,bar,4.0,7d6570e0-c264-4105-a26e-7864393b92ed,1676a419-f2d0-4bf4-a5ae-569fea25e991
d7ce77a7-de01-4e3d-ab87-6ebfc1b5f6f2,False,ChIJsc-I-CsbdkgRf9RP9okWL5k,Reverend J W Simpson,"32 Goodge St, London W1T 2QJ, UK",51.5197314,-0.135236,bar,4.0,221804cf-0da7-4ba7-ae93-4696429152ce,1676a419-f2d0-4bf4-a5ae-569fea25e991
9f2df78c-a1c4-4070-88da-8ba2d8bbe87d,False,ChIJM0n9x7IEdkgRZllOf-c6RYQ,Ye Olde Cheshire Cheese,"145 Fleet St, London EC4A 2BP, UK",51.51436796944155,-0.1071703433990478,bar,4.0,1fb0c041-e7ac-4df4-a197-20518fad1038,87b4b121-bf17-44e7-805a-a860f9ee4b33
8905f38f-5abe-4ff7-9b22-72ab50645c21,False,ChIJeaFiSVAbdkgRMReUY6rO8Kw,The Dovetail,"9-10 Jerusalem Passage, London EC1V 4JP, UK",51.5232321,-0.1039848,restaurant,4.0,86863791-1cbc-4743-8fc1-daed77eb8128,87b4b121-bf17-44e7-805a-a860f9ee4b33
85734c01-6261-4784-b024-637b12b8d4f4,False,ChIJc1290q8EdkgRzmquDwQgy48,Fullers Ale and Pie House,"60-63 W Smithfield, London EC1A 9DY, UK",51.51879527524319,-0.1005265116691589,bar,4.0,d97b5ad4-eff1-439d-aad7-b121519aa3db,87b4b121-bf17-44e7-805a-a860f9ee4b33
168c5191-a91d-4774-af72-c0b60222cd5c,False,ChIJBZy_ImUbdkgRikjoTsqS6zY,Famous Cock Tavern,"259 Upper St, London N1 1RU, UK",51.5460311,-0.1034609,bar,3.0,6339de91-7b07-4cc2-960f-3e12bb216599,7b9db47d-0a1c-429c-9608-711ed711e845
02587b03-dfd1-4ac7-a987-762c49d7648d,False,ChIJ52G0Y-gddkgRBDmAqXB5rQI,Ye Olde Rose and Crown,"53 Hoe St, London E17 4SA, UK",51.5877778,-0.0205886,bar,2.0,4cb5aabd-df77-44d4-9f6a-e0452b6f00fa,be3be431-d8c0-4327-83e7-4718f2d97d97
94d24fde-0b24-4bec-a05d-3c8ca530db55,False,ChIJD7jeSWcbdkgRwyRdbn_qKIQ,The Old Queens Head Pub,"44 Essex Rd, London N1 8LN, UK",51.53722635051119,-0.1004061475396156,bar,3.0,d2878413-cc97-4454-984d-bb72e04c8bcc,7b9db47d-0a1c-429c-9608-711ed711e845
5b752b18-6d5f-404d-a831-cea145c34dae,False,ChIJOXISL-oddkgR8T4iCezLtY4,Big Penny Social,"1 Priestley Way, London E17 6AL, UK",51.59085509999999,-0.0413180999999999,Bar,4.0,b2452466-5e6c-481f-abf5-bd2527db9c42,be3be431-d8c0-4327-83e7-4718f2d97d97
