pub_identity,pub_deletion,place,name,address,latitude,longitude,category,station_identity,area_identity
00ffd490-b3b8-424d-b5d2-5122bbebdba2,False,ChIJd9ZrglcDdkgRbfzaNDJlWWk,Katzenjammers,"The Hop Exchange, 24 Southwark St, London SE1 1TY, UK",51.50487263904412,-0.0909537076950073,Bar,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
10f611a2-512f-4b07-aa57-8de878ccbb3b,False,ChIJ03GSCloDdkgRe_s-p2vyvQA,The Shard,"32 London Bridge St, London SE1 9SG, UK",51.5042997,-0.0863703,bar,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
7f3d8913-5a6d-40a4-a3e4-cd6eb0b0b8bf,False,ChIJo15e1lkDdkgR-X84Yf2cA0s,The George,"75 Borough High St, London SE1 1NH, UK",51.5043041,-0.0904175,bar,f5b94c64-beb5-4295-95a1-34fc1f5b5a8d,75808b33-a6d6-4e79-bc63-cce0831d36a9
0d3af39b-2da5-4ce4-bb58-734a1523af77,False,ChIJ6fK9FtAPdkgRdZW6DkHWrnU,Defectors Weld,"170 Uxbridge Rd, London W12 8AA, UK",51.505251622105526,-0.2244298160076141,bar,88f17742-208e-4759-9444-3f128e5a07cd,a8270094-1d5b-4558-a1d0-5be568497233
b9f3cbd8-2466-4652-9158-0d8a432bc1e7,False,ChIJYdET4FQDdkgRbjvXg_CcAm0,The Ned,"27 Poultry, London EC2R 8AJ, UK",51.5136168286822,-0.0901302695274353,bar,7a683234-b0e5-49f4-b894-55b5ddaa9eef,71f589fb-f617-48b9-b779-dc1e8d73b1fe
979b46f5-07a3-4f18-83de-ac5b365a8f1c,False,ChIJNQsDclUDdkgRvZqcNZvdRgM,Core Bar,"10-15 Queen St, London EC4N 1TY, UK",51.51297250696187,-0.092659592628479,bar,17d9ab39-318d-4187-bdcb-a6aa315d1997,71f589fb-f617-48b9-b779-dc1e8d73b1fe
fd1f6053-8868-419a-a445-fd24a21e8b99,False,ChIJy2QpfVUDdkgR_ZjHMTwf28A,Ye Olde Watling,"29 Watling St, Greater, London EC4M 9BR, UK",51.51292242976256,-0.0935447216033935,bar,17d9ab39-318d-4187-bdcb-a6aa315d1997,71f589fb-f617-48b9-b779-dc1e8d73b1fe
e550bd4d-7593-458b-b7b7-a36bfa2dfd62,False,ChIJxSm2gqoEdkgR8QXyqlo5k2A,The Pavilion End,"23 Watling St, London EC4M 9BR, UK",51.51301590715673,-0.0939711928367614,bar,17d9ab39-318d-4187-bdcb-a6aa315d1997,71f589fb-f617-48b9-b779-dc1e8d73b1fe
46ba2acd-3c20-435f-8dfa-679e03665fa1,False,ChIJMz9GjlQDdkgR_JrS2W6SR5w,1 Lombard Street,"1 Lombard St, London EC3V 9AA, UK",51.51313943056201,-0.0889903306961059,restaurant,7a683234-b0e5-49f4-b894-55b5ddaa9eef,71f589fb-f617-48b9-b779-dc1e8d73b1fe
7ae82cb5-b1cb-4942-a8be-fc963e12115b,False,ChIJSxmw_XoddkgRZkNuuzDpEjU,Bethnal Green Tavern,"456 Bethnal Grn Rd, London E2 0EA, UK",51.52705036255226,-0.0583380460739135,bar,ff9f143a-4b17-424b-a8fc-1730006f68ef,031970b0-c0f6-450a-8515-4129c30f3302
